27-Dec-2023 21:29:02 - num of feature = 2308
27-Dec-2023 21:30:41 - iter: 7/70 time: 1.174s fit: 0.073821
27-Dec-2023 21:30:42 - iter: 8/70 time: 1.1893s fit: 0.066983
27-Dec-2023 21:30:43 - iter: 9/70 time: 1.1422s fit: 0.062014
27-Dec-2023 21:30:44 - iter: 10/70 time: 1.1137s fit: 0.060019
27-Dec-2023 21:30:45 - iter: 11/70 time: 1.2486s fit: 0.05946
27-Dec-2023 21:30:46 - iter: 12/70 time: 1.1699s fit: 0.051088
27-Dec-2023 21:30:48 - iter: 13/70 time: 1.1231s fit: 0.051664
27-Dec-2023 21:30:49 - iter: 14/70 time: 1.1245s fit: 0.052481
27-Dec-2023 21:30:50 - iter: 15/70 time: 1.1994s fit: 0.051794
27-Dec-2023 21:30:51 - iter: 16/70 time: 1.1645s fit: 0.0513
27-Dec-2023 21:30:52 - iter: 17/70 time: 1.1255s fit: 0.044265
27-Dec-2023 21:30:53 - iter: 18/70 time: 1.1163s fit: 0.044431
27-Dec-2023 21:30:54 - iter: 19/70 time: 1.1181s fit: 0.041795
27-Dec-2023 21:30:56 - iter: 20/70 time: 1.1643s fit: 0.039827
27-Dec-2023 21:30:57 - iter: 21/70 time: 1.1422s fit: 0.037396
27-Dec-2023 21:30:58 - iter: 22/70 time: 1.1704s fit: 0.03813
27-Dec-2023 21:30:59 - iter: 23/70 time: 1.1775s fit: 0.038439
27-Dec-2023 21:31:00 - iter: 24/70 time: 1.1223s fit: 0.036653
27-Dec-2023 21:31:01 - iter: 25/70 time: 1.2057s fit: 0.037796
27-Dec-2023 21:31:03 - iter: 26/70 time: 1.2511s fit: 0.03467
27-Dec-2023 21:31:04 - iter: 27/70 time: 1.1367s fit: 0.035007
27-Dec-2023 21:31:05 - iter: 28/70 time: 1.1304s fit: 0.031872
27-Dec-2023 21:31:06 - iter: 29/70 time: 1.1518s fit: 0.035119
27-Dec-2023 21:31:08 - iter: 30/70 time: 1.424s fit: 0.032921
27-Dec-2023 21:31:09 - iter: 31/70 time: 1.1357s fit: 0.032328
27-Dec-2023 21:31:10 - iter: 32/70 time: 1.1342s fit: 0.031404
27-Dec-2023 21:31:11 - iter: 33/70 time: 1.1274s fit: 0.030535
27-Dec-2023 21:31:12 - iter: 34/70 time: 1.1297s fit: 0.031562
27-Dec-2023 21:31:13 - iter: 35/70 time: 1.1372s fit: 0.030659
27-Dec-2023 21:31:14 - iter: 36/70 time: 1.1129s fit: 0.031035
